Study_ID,ES_ID,Ref_ID,Author,Year,Title,Record_Type,Country,Level,Setting,Training,Duration,grpT,grpC,Occasion,CM_Type,Comparison,Comparison_Author,Interaction,Time,N,Design_Exp,Design_Measures,Design_An_Prim,ES_stat,,Other_ES,mTa,sdTa,mTb,sdTb,mTc,sdTc,nT,rppT,pairtT,mCa,sdCa,mCb,sdCb,mCc,sdCc,nC,rppC,pairtC,ti
1,1,35,Hattan and Alexander,2018,"Scaffolding Reading Comprehension for Competent Readers Literacy Research: Theory, Method, and Practice",Journal,United States,UG,Intact,Minimal,1,1,3,1,Constructed,BAU,Reading Strategy (Underlining),Minimal,1,118,Exp,PPC,MANOVA,PO,,0,,,17.55,3.35,,,38,,,,,15.07,3.87,,,40,,,
1,2,35,Hattan and Alexander,2018,"Scaffolding Reading Comprehension for Competent Readers Literacy Research: Theory, Method, and Practice",Journal,United States,UG,Intact,Minimal,1,1,4,1,Constructed,Reform,Reading Strategy (Mobilization),Minimal,1,118,Exp,PPC,MANOVA,PO,,0,,,17.55,3.35,,,38,,,,,14.75,3.71,,,40,,,
2,1,58,Ajaja,2013,"Which Strategy Best Suits Biology Teaching? Lecturing, Concept Mapping, Cooperative Learning or Learning Cycle?",Journal,Nigeria,Sec,Intact,Minimal,12,1,3,1,Constructed,BAU,Lecture,Minimal,1,259,Quasi,PPC,ANCOVA,PP,,0,25.28,,43.42,,,,64,,18.07,25.39,,36.97,,,,59,,9.143,
2,2,58,Ajaja,2013,"Which Strategy Best Suits Biology Teaching? Lecturing, Concept Mapping, Cooperative Learning or Learning Cycle?",Journal,Nigeria,Sec,Intact,Minimal,12,1,3,1,Constructed,BAU,Lecture,Minimal,2,259,Quasi,PPC,ANOVA,PO,,0,,,81.11,6.55,,,67,,,,,76.17,6.2,,,59,,,
2,3,58,Ajaja,2013,"Which Strategy Best Suits Biology Teaching? Lecturing, Concept Mapping, Cooperative Learning or Learning Cycle?",Journal,Nigeria,Sec,Intact,Minimal,12,1,4,1,Constructed,Reform,Cooperative Learning,Minimal,1,259,Quasi,PPC,ANCOVA,PP,,0,25.28,,43.42,,,,64,,18.07,25.4,,49.41,,,,67,,19.63,
2,4,58,Ajaja,2013,"Which Strategy Best Suits Biology Teaching? Lecturing, Concept Mapping, Cooperative Learning or Learning Cycle?",Journal,Nigeria,Sec,Intact,Minimal,12,1,4,1,Constructed,Reform,Cooperative Learning,Minimal,2,259,Quasi,PPC,ANOVA,PO,,0,,,81.11,6.55,,,67,,,,,88.4373,6.14,,,64,,,
2,5,58,Ajaja,2013,"Which Strategy Best Suits Biology Teaching? Lecturing, Concept Mapping, Cooperative Learning or Learning Cycle?",Journal,Nigeria,Sec,Intact,Minimal,12,1,5,1,Constructed,Reform,5E Teaching/Learning Cycle,Minimal,1,259,Quasi,PPC,ANCOVA,PP,,0,25.28,,43.42,,,,64,,18.07,25.45,,50.21,,,,69,,21.9,
2,6,58,Ajaja,2013,"Which Strategy Best Suits Biology Teaching? Lecturing, Concept Mapping, Cooperative Learning or Learning Cycle?",Journal,Nigeria,Sec,Intact,Minimal,12,1,5,1,Constructed,Reform,5E Teaching/Learning Cycle,Minimal,2,259,Quasi,PPC,ANOVA,PO,,0,,,81.11,6.55,,,67,,,,,90.7,4.77,,,69,,,
3,1,75,Park-Martinez,2011,Effects of Node-Link Mapping on Non-Science Majors' Meaningful Learning and Conceptual Change in a Life-Science Survey Lecture Course,Diss/Thesis,United States,UG,Intact,Extensive,10,1,3,1,Constructed,Reform,Written Format,Collaborative,1,68,Quasi,PPC,MMLR,PP,,1,40.6,11.7,65.9,12.8,,,35,,,36.7,10.5,57.9,13.3,,,31,,,
3,2,75,Park-Martinez,2011,Effects of Node-Link Mapping on Non-Science Majors' Meaningful Learning and Conceptual Change in a Life-Science Survey Lecture Course,Diss/Thesis,United States,UG,Intact,Extensive,16,1,3,2,Constructed,Reform,Written Format,Collaborative,1,68,Quasi,PPC,MMLR,PP,,1,42.5,10.4,64.2,13.8,,,35,,,38.2,8.1,56.2,11.5,,,30,,,
