mod,mod_category,mod_variable,k_constructed,g_constructed,sig_constructed,k_studied,g_studied,sig_studied
CM type,CM type,,75,0.72,*,67,0.43,*
Moderator by CM type,Comparison condition,Discussion/lecture,32,1.05,*,5,1.09,*
Moderator by CM type,Comparison condition,Studied or constructed lists,0,-,,13,0.43,*
Moderator by CM type,Comparison condition,Studied or constructed outlines,6,0.4,*,2,0.72,*
Moderator by CM type,Comparison condition,Studied text,5,0.33,,39,0.29,*
Moderator by CM type,Comparison condition,Constructed text,10,0.48,*,3,0.1,
Moderator by CM type,Comparison condition,Other,22,0.47,*,5,0.98,*
Moderator by CM type,Academic discipline,STEM,64,0.73,*,54,0.44,*
Moderator by CM type,Academic discipline,non-STEM,11,0.62,*,12,0.41,*
Moderator by CM type,Academic discipline,Not reported,0,-,,1,0.05,
Moderator by CM type,CM mode,Interactive,8,0.71,*,16,0.54,*
Moderator by CM type,CM mode,Static,66,0.72,*,39,0.4,*
Moderator by CM type,CM mode,Animated,0,-,,7,0.47,*
Moderator by CM type,CM mode,Mixed,1,0.75,*,5,0.27,
Moderator by CM type,Intervention duration,<1 week,14,0.4,*,33,0.34,*
Moderator by CM type,Intervention duration,1-4 weeks,23,0.94,*,30,0.48,*
Moderator by CM type,Intervention duration,>4 weeks,37,0.72,*,4,0.7,*
Moderator by CM type,Intervention duration,Unknown,1,0.06,,0,-,
Moderator by CM type,Country,Africa,7,1.44,*,0,-,
Moderator by CM type,Country,Asia,9,0.78,*,5,1.04,*
Moderator by CM type,Country,Europe,9,0.82,*,3,0.46,*
Moderator by CM type,Country,Middle East,13,0.75,*,2,0.96,*
Moderator by CM type,Country,USA or Canada,33,0.49,*,51,0.25,*
Moderator by CM type,Country,Other/not reported,4,0.62,*,6,1.29,*
Moderator by CM type,School level,Intermediate,22,0.68,*,7,0.82,*
Moderator by CM type,School level,Secondary,25,0.74,*,4,1.24,*
Moderator by CM type,School level,Postsecondary and beyond,28,0.73,*,56,0.32,*
Moderator by CM type,Student interaction,In groups,14,0.91,*,10,0.48,*
Moderator by CM type,Student interaction,Individual,32,0.55,*,55,0.41,*
Moderator by CM type,Student interaction,Mixed,22,0.91,*,0,-,
Moderator by CM type,Student interaction,Other,2,0.95,,1,0.75,*
Moderator by CM type,Student interaction,Unknown,5,0.29,,1,0.47,*
